Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""0385741278""","=""9780385741279""",3,3.66,Delacorte Press,Kindle Edition,242,2014,2014,,2025/06/29,,,read,,,,1,0
230824619,"Death Row (Alibis Collection, #1)",Freida McFadden,"McFadden, Freida",,"=""1662532261""","=""9781662532269""",2,3.61,Amazon Original Stories,Kindle Edition,74,2025,2025,2025/06/28,2025/06/14,,,read,,,,1,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",0,4.09,Vintage,Paperback,343,1994,1966,,2025/06/20,currently-reading,currently-reading (#5),currently-reading,,,,1,0
205358060,The City and Its Uncertain Walls,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1787304477""","=""9781787304475""",0,3.77,Harvill Secker,Hardcover,464,2024,2023,,2025/06/28,to-read,to-read (#121),to-read,,,,0,0
40389527,The Woman in the Window,A.J. Finn,"Finn, A.J.",,"=""""","=""""",2,3.94,William Morrow,Kindle Edition,455,2018,2018,2025/06/27,2025/06/21,,,read,2.5⭐️<br/>The book was so unnecessarily long it was full of details that wasn't necessary. The plot was good but the book was just too long to enjoy the plot. After completing half I just wanted to be done with it.,,,1,0
205544315,Heart Lamp: Selected Stories,Banu Mushtaq,"Mushtaq, Banu",Deepa Bhasthi,"=""1916751164""","=""9781916751163""",0,3.84,And Other Stories,Paperback,192,2025,2012,,2025/06/26,to-read,to-read (#120),to-read,,,,0,0
45172472,Once Upon A Curfew,Srishti Chaudhary,"Chaudhary, Srishti",,"=""0143445960""","=""9780143445968""",0,3.69,Penguin eBury Press,Paperback,304,2019,,,2025/06/26,to-read,to-read (#119),to-read,,,,0,0
54333947,Lallan Sweets,Srishti Chaudhary,"Chaudhary, Srishti",,"=""0143450298""","=""9780143450290""",0,3.51,Penguin Random House,Paperback,288,2020,2020,,2025/06/26,to-read,to-read (#118),to-read,,,,0,0
176451879,"Kill for Me, Kill for You",Steve Cavanagh,"Cavanagh, Steve",,"=""1668049341""","=""9781668049341""",0,4.15,Atria Books,Hardcover,340,2024,2023,,2025/06/21,to-read,to-read (#117),to-read,,,,1,0
30267604,Ghachar Ghochar,Vivek Shanbhag,"Shanbhag, Vivek",Srinath Perur,"=""014311168X""","=""9780143111689""",4,3.89,Penguin Books,Paperback,118,2017,2013,2025/06/21,2025/06/21,,,read,,,,1,0
219848315,The Emperor of Gladness,Ocean Vuong,"Vuong, Ocean",,"=""059383187X""","=""9780593831878""",0,4.10,Penguin Press,Hardcover,416,2025,2025,,2025/06/18,to-read,to-read (#116),to-read,,,,0,0
18490,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""""","=""""",0,3.89,Penguin,Paperback,288,2003,1818,,2024/07/16,currently-reading,currently-reading (#4),currently-reading,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,4.02,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,2025/06/17,2025/06/16,,,read,3.5⭐️<br/><br/>That was a good thriller book!!. You really think you figured out the plot but of course the author throws in a twist. Overall a good one time read. ,,,1,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",4,4.04,Atria Books,Paperback,359,2018,2017,2025/06/16,2025/06/13,,,read,Dark and disturbing!!.,,,1,0
231819058,The Intruder,Freida McFadden,"McFadden, Freida",,"=""1464260915""","=""9781464260919""",0,4.34,Poisoned Pen Press,Hardcover,288,2025,2025,,2025/06/14,to-read,to-read (#115),to-read,,,,0,0
30108909,Brain Damage,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.01,Hollywood Upstairs Publishing,Kindle Edition,400,2016,2016,,2025/06/14,to-read,to-read (#114),to-read,,,,0,0
223093377,Out of Madness,Rithwik Aryan,"Aryan, Rithwik",,"=""9365477786""","=""9789365477788""",0,3.00,Ink,Paperback,373,2024,,,2025/06/14,to-read,to-read (#113),to-read,,,,0,0
214298301,Ward D,Freida McFadden,"McFadden, Freida",,"=""1464233004""","=""9781464233005""",3,3.97,Poisoned Pen Press,Hardcover,320,2025,2023,2025/06/14,2025/06/13,,,read,3.5⭐️!!,,,1,0
775346,The Little Friend,Donna Tartt,"Tartt, Donna",,"=""1400031699""","=""9781400031696""",0,3.48,Vintage,Audible Audio,624,2003,2002,,2025/06/13,to-read,to-read (#112),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.64,Hogarth,Hardcover,188,2016,2007,,2025/06/12,to-read,to-read (#111),to-read,,,,0,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",4,3.64,Harper Perennial,Paperback,150,2023,2010,2025/06/12,2024/05/29,,,read,Reading this book is a warm comforting hug<3 ,,,1,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,3.97,HarperVoyager,Kindle Edition,400,2025,2025,,2025/06/11,to-read,to-read (#110),to-read,,,,0,0
286957,The Yellow Wall-Paper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Elaine R. Hedges,"=""1558611584""","=""9781558611580""",4,4.07,The Feminist Press at CUNY,Paperback,62,1996,1892,2025/06/09,2025/06/09,,,read,4.5 stars <br/>This was so creepy to read. ,,,1,0
140337,They Came to Baghdad,Agatha Christie,"Christie, Agatha",,"=""0007154933""","=""9780007154937""",0,3.83,HarperCollins,Paperback,368,2003,1951,,2025/06/09,to-read,to-read (#109),to-read,,,,0,0
11588,"The Shining (The Shining, #1)",Stephen        King,"King, Stephen",,"=""0450040186""","=""9780450040184""",4,4.28,New English Library (Hodder & Stoughton) ,Paperback,497,1980,1977,,2023/12/23,,,read,,,,2,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",4,4.35,Scholastic Press,Hardcover,391,2009,2009,2025/04/18,2023/12/23,,,read,"4.5 <br/>Wow this book was a roller coaster of emotions, mostly sad. I absolutely love Katniss this is the complex female character a 16 year old girl forced to grow up who makes mistakes, is taken advantage of but at the end of the day she’s a good person who will do anything for the people she loves. <br/>Peeta has my whole heart such an inherently good character. <br/>President Snow is definitely a very evil, cunning and one the most intresting character that I have ever read. <br/><br/>",,,3,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",4,4.56,Scholastic Press,Hardcover,387,2025,2025,2025/05/14,2025/04/06,,,read,4.5 <br/><br/>This book really explains Haymitch's alcoholism. This book really felt like the last piece of a puzzle.Suzanne Collins uses this story to really drive home the fact that actual villain is and will always be Snow and the Capitol. Also what's with Snow and his tendency to wage psychological warfare against teenagers like didn't the man have a country to run.,,,1,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",3,4.06,Flatiron Books,Hardcover,408,2021,2021,2025/02/17,2025/02/05,,,read,The book had a captivating plot but the only problem for me was pacing. ,,,1,0
62816044,"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250851203""","=""9781250851208""",3,4.15,Flatiron,Hardcover,386,2023,2023,2025/03/03,2025/03/02,,,read,3.5 stars <br/>Finally Jacks gets his happy ending!!<br/>But there are a lot of plot that wasn't uncovered. Like what was LaLa's story with Dane? What happens to Chaos? Where the hell is Marisol? What does Jacks eat apples all the time? What about the third kiss Evangeline owed him? What happened to Luc?What happened to Apollo’s brother and his rebellion army? I didn't get a few answers I wanted. There were a LOT of loose ends but u still enjoyed the story,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",4,3.99,Scholastic Press,Kindle Edition,541,2020,2020,2025/05/08,2025/04/06,,,read,4.5 stars <br/><br/>Suzanne Collins is such a genius writer.<br/>She made me feel almost bad for Snow but by the end of it he turned into the worst version of himself. I absolutely loved this book and how it ties up the whole Hunger Games Series. Also District 12 girls have my heart. So smart and stubborn always defying Capitol on their own way. <br/>I remember reading the whole hunger games and thought Snow is definitely one of the most intresting characters. From the not so innocent Coryo to absolutely evil mastermind President Coriolanus Snow what a journey!!,,,1,0
231496056,Mahabharat 2025: The Secrets of Shunya,Divyansh Mundra,"Mundra, Divyansh",,"=""936790021X""","=""9789367900215""",0,4.10,Ebury Press,Kindle Edition,231,2025,,,2025/05/07,to-read,to-read (#108),to-read,,,,0,0
203094595,Acts of God,Kanan Gill,"Gill, Kanan",,"=""9356996997""","=""9789356996991""",0,3.90,HarperCollins India,Kindle Edition,435,2024,,,2025/04/28,to-read,to-read (#107),to-read,,,,0,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",5,4.11,Scholastic Press,Hardcover,390,2010,2010,2025/04/22,2023/12/23,,,read,"“We burn, You burn with us” <br/>There are no winners in a war, only survivors. <br/>",,,2,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.35,Scholastic Press,Hardcover,374,2008,2008,,2023/12/23,,,read,"I read this book when I was 15 years old but I couldn’t remember much of it, I wanted to read “The Ballad Of Songbirds And Snakes”.I did remember enjoying it even back then but I couldn’t really understand what sort of rebellion Katniss had started but rereading it at almost 20 feels like a whole different experience. <br/><br/>Katniss and Peeta have something that’s so genuine even if she doesn’t understand it completely. I absolutely admire Katniss for her courage. The writing is so well done everything is said so seamlessly and subtly because I recognised so many references that would come up in the next book. The games in itself was such a horrific tale. Even characters you were supposed to hate I couldn’t because they were raised to believe that this horrific game was a good thing. <br/><br/>Overall I’m so glad I decided to reread this.",,,2,0
214151222,"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,"Roberts, Lauren",,"=""1665955465""","=""9781665955461""",0,4.15,Simon & Schuster Books for Young Readers,Hardcover,593,2025,2025,,2025/04/06,to-read,to-read (#106),to-read,,,,0,0
208503280,The Boyfriend,Freida McFadden,"McFadden, Freida",,"=""1728296226""","=""9781728296227""",2,4.03,Poisoned Pen Press,Paperback,368,2024,2024,2024/10/26,2024/10/25,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",3,4.30,Bookouture,Kindle Edition,329,2022,2022,2024/06/06,2024/05/29,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2024/05/29,currently-reading,currently-reading (#3),currently-reading,,,,1,0
222331694,Too Good To Be True,Prajakta Koli,"Koli, Prajakta",,"=""9365692040""","=""9789365692044""",2,3.13,Harper Fiction India,Kindle Edition,272,2025,,2025/03/22,2025/03/21,,,read,"1.5 stars<br/>The writing in this book was one of the worst things i have ever read, the plot was mid but the wanna be genz slangs were too much. I’ve read wattpad books with better writing. It was a very wanna be American novel. The main female character was very annoying which made this book even more tedious to read. The main male lead is a one dimensional character with no character development whatsoever. Also how did a 23 year old post graduate law student have so much time on her hand? It’s absolutely ridiculous ",,,1,0
141876074,"Matilda by Shelley, Mary (2013) Paperback",Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""""","=""""",0,3.42,Bandanna Books,Paperback,0,2013,1959,,2025/03/21,to-read,to-read (#105),to-read,,,,0,0
16297,"Cards on the Table (Hercule Poirot, #15)",Agatha Christie,"Christie, Agatha",,"=""0425205959""","=""9780425205952""",4,3.96,Berkley,Mass Market Paperback,324,2005,1936,2025/03/21,2025/03/21,,,read,"Agatha Christie’s knowledge of poisons is always fun to read!! <br/>This book was soo good, the plot was so different from any thriller that I have read. When you finally think everything is over she throws in a twist no one can seeing coming. Absolutely brilliant.",,,1,0
63095160,"The Temporary Wife (The Windsors, #2)",Catharina Maura,"Maura, Catharina",,"=""""","=""""",2,4.02,,Kindle Edition,384,2023,2023,,2023/12/23,,,read,,,,1,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,"=""""","=""""",5,4.07,,Paperback,82,1848,1848,2025/03/04,2024/02/06,,,read,“You think you know love then you read white nights” <br/>Pretty much sums up the whole book,,,1,0
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250095255""","=""9781250095251""",0,3.97,Flatiron Books,Hardcover,407,2017,2016,,2025/03/03,to-read,to-read (#104),to-read,,,,0,0
59808071,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"Garber, Stephanie",,"=""1250268427""","=""9781250268426""",4,4.50,Flatiron Books,Hardcover,416,2022,2022,2025/03/02,2025/03/02,,,read,Oh Jacks :(,,,1,0
9864913,Jaya: 9,Devdutt Pattanaik,"Pattanaik, Devdutt",,"=""014310425X""","=""9780143104254""",3,4.22,Penguin Random House India Pvt. Ltd,Paperback,349,2010,2010,2025/02/25,2025/02/20,,,read,The story is influenced by authors personal views but still stuck to the original Mahabharata scriptures. So a decent read. ,,,1,0
8439160,Parva,S.L. Bhyrappa,"Bhyrappa, S.L.",K. Raghavendra Rao,"=""0948724455""","=""9780948724459""",0,4.44,Sahitya Akademi,Hardcover,950,2009,1979,,2025/02/21,to-read,to-read (#103),to-read,,,,0,0
31557698,One Indian Girl,Chetan Bhagat,"Bhagat, Chetan",,"=""8129142147""","=""9788129142146""",0,3.30,Rupa Publications India,Paperback,272,2016,2016,,2025/02/17,,,read,,,,1,0
207110848,"The Devious Husband (The Windsors, #6)",Catharina Maura,"Maura, Catharina",,"=""""","=""""",2,4.19,,Kindle Edition,356,2024,2024,,2024/08/30,,,read,"The story of Sierra and Xavier was meh. Enemies to lovers but he was always in love with her was all good and all. The best thing for me was that old witch Grandma Anne dying,made the book so much better.",,,1,0
